SURVEY_ID,USER_ID,SURVEY_RESPONDED_DATE,RESPONSE1,RESPONSE2,RESPONSE3,PRODUCT
survey_6,user_914,9/1/21,"i was able to buy everything on my list","Trader Joe's",Availability,"Vitamins & Supplements"
survey_3,user_1001,8/13/21,"i was able to buy everything on my list",costco,price,Beverages
survey_6,user_4857,9/3/21,"i was able to buy everything on my list",Costco,Availability,Bakery/Bread
survey_9,user_4933,9/24/21,"i found most of the items on my list",walmart,brand,"Cereal (Ready To Eat)"
survey_9,user_4933,9/24/21,"i found most of the items on my list",walmart,price,"Frozen Foods"
survey_9,user_4933,9/24/21,"i found most of the items on my list",walmart,price,"Canned Goods"
survey_5,user_4941,8/25/21,"i was able to buy everything on my list","sam's club",availability,Bakery/Bread
survey_5,user_4941,8/25/21,"i was able to buy everything on my list","sam's club",availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_1,user_4944,8/1/21,"i found most of the items on my list",costco,brand,"Baby Care"
survey_8,user_4993,9/19/21,"i found most of the items on my list",kroger,availability,"Cereal (Ready To Eat)"
survey_2,user_5016,8/5/21,"i was able to buy everything on my list",costco,price,"Pet Care"
survey_2,user_5134,8/2/21,"i was able to buy everything on my list",costco,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_5134,8/2/21,"i was able to buy everything on my list",costco,availability,"Cereal (Ready To Eat)"
survey_4,user_5122,8/18/21,"i found most of the items on my list",albertsons,brand,"Grains, Rice, Pasta And Sauce"
survey_4,user_5122,8/18/21,"i found most of the items on my list",albertsons,price,Beverages
survey_6,user_5146,9/1/21,"i was able to buy everything on my list",Costco,Price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_8,user_5090,9/19/21,"i was able to buy everything on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_3,user_5270,8/9/21,"i was able to buy everything on my list",walmart,availability,Coffee/Tea
survey_3,user_5270,8/9/21,"i was able to buy everything on my list",walmart,brand,"Dairy/Dairy Byproducts"
survey_9,user_5315,9/22/21,"i was able to buy everything on my list",walmart,price,Beverages
survey_5,user_5326,8/23/21,"i was able to buy everything on my list",walmart,price,Coffee/Tea
survey_2,user_5200,8/7/21,"i found most of the items on my list",costco,availability,"Vitamins & Supplements"
survey_3,user_5321,8/12/21,"i found most of the items on my list","sam's club",brand,"Cereal (Ready To Eat)"
survey_3,user_1463,8/11/21,"i was able to buy everything on my list",kroger,availability,"Canned Goods"
survey_3,user_1482,8/10/21,"i was able to buy everything on my list",costco,price,"Personal Care & Beauty Health"
survey_3,user_1482,8/10/21,"i was able to buy everything on my list",costco,price,"Cereal (Ready To Eat)"
survey_9,user_1553,9/24/21,"i found most of the items on my list",costco,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_4,user_1558,8/19/21,"i was able to buy everything on my list","trader joe's",availability,"Frozen Foods"
survey_9,user_1577,9/26/21,"i was able to buy everything on my list","trader joe's",availability,"Frozen Foods"
survey_5,user_1620,8/28/21,"i was able to buy everything on my list","sam's club",price,"Personal Care & Beauty Health"
survey_5,user_1706,8/24/21,"i was able to buy everything on my list",walmart,price,"Dairy/Dairy Byproducts"
survey_2,user_1839,8/8/21,"i found most of the items on my list","sam's club",brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_3,user_1851,8/14/21,"i was able to buy everything on my list",walmart,price,Coffee/Tea
survey_3,user_1851,8/14/21,"i was able to buy everything on my list",walmart,availability,"Dairy/Dairy Byproducts"
survey_4,user_1891,8/18/21,"i was able to buy everything on my list",walmart,brand,"Cereal (Ready To Eat)"
survey_4,user_1891,8/18/21,"i was able to buy everything on my list",walmart,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_10,user_1626,9/27/21,"i found most of the items on my list",target,availability,Bakery/Bread
survey_6,user_1649,9/5/21,"i found most of the items on my list",Costco,Availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_6,user_1800,8/31/21,"i was able to buy everything on my list",Target,Availability,Coffee/Tea
survey_6,user_1800,8/31/21,"i was able to buy everything on my list",Target,Availability,"Vitamins & Supplements"
survey_6,user_1800,8/31/21,"i was able to buy everything on my list",Target,Price,"Laundry/Home Cleaning"
survey_9,user_1826,9/22/21,"i was able to buy everything on my list","sam's club",price,"Grains, Rice, Pasta And Sauce"
survey_3,user_8,8/9/21,"i was able to buy everything on my list",albertsons,price,Beverages
survey_2,user_43,8/2/21,"i was able to buy everything on my list",target,price,Bakery/Bread
survey_3,user_222,8/9/21,"i was able to buy everything on my list",walmart,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_3,user_222,8/9/21,"i was able to buy everything on my list",walmart,price,"Dairy/Dairy Byproducts"
survey_4,user_277,8/19/21,"i found most of the items on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_9,user_68,9/26/21,"i was able to buy everything on my list","sam's club",availability,Beverages
survey_9,user_249,9/26/21,"i found most of the items on my list",albertsons,availability,"Frozen Foods"
survey_6,user_308,9/4/21,"i was able to buy everything on my list",Costco,Price,"Cereal (Ready To Eat)"
survey_6,user_308,9/4/21,"i was able to buy everything on my list",Costco,Price,"Personal Care & Beauty Health"
survey_7,user_1897,9/11/21,"i found most of the items on my list",Walmart,Availability,"Canned Goods"
survey_3,user_2100,8/9/21,"i was able to buy everything on my list",target,brand,"Frozen Foods"
survey_4,user_2105,8/22/21,"i was able to buy everything on my list",kroger,price,Bakery/Bread
survey_4,user_2105,8/22/21,"i was able to buy everything on my list",kroger,price,"Canned Goods"
survey_9,user_2122,9/23/21,"i was able to buy everything on my list",walmart,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_9,user_2122,9/23/21,"i was able to buy everything on my list",walmart,price,"Laundry/Home Cleaning"
survey_9,user_2122,9/23/21,"i was able to buy everything on my list",walmart,brand,"Dairy/Dairy Byproducts"
survey_9,user_2122,9/23/21,"i was able to buy everything on my list",walmart,brand,"Frozen Foods"
survey_9,user_2122,9/23/21,"i was able to buy everything on my list",walmart,brand,Beverages
survey_10,user_439,9/29/21,"i was able to buy everything on my list",kroger,availability,"Beer, Wine & Spirits"
survey_2,user_443,8/5/21,"i was able to buy everything on my list","trader joe's",availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_1,user_480,8/1/21,"i was able to buy everything on my list","sam's club",price,"Laundry/Home Cleaning"
survey_9,user_508,9/26/21,"i found most of the items on my list","whole foods",price,"Canned Goods"
survey_7,user_463,9/7/21,"i found most of the items on my list",Kroger,Availability,"Grains, Rice, Pasta And Sauce"
survey_4,user_478,8/18/21,"i was able to buy everything on my list",walmart,brand,"Frozen Foods"
survey_2,user_558,8/3/21,"i found only a few of the items on my list",target,availability,"Canned Goods"
survey_3,user_579,8/9/21,"i was able to buy everything on my list","whole foods",availability,"Canned Goods"
survey_5,user_693,8/25/21,"i was able to buy everything on my list",target,availability,Beverages
survey_7,user_697,9/8/21,"i was able to buy everything on my list",Target,Availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_3,user_3404,8/9/21,"i was able to buy everything on my list",target,price,"Vitamins & Supplements"
survey_7,user_3427,9/6/21,"i was able to buy everything on my list","Whole Foods",Availability,Bakery/Bread
survey_8,user_3492,9/19/21,"i was able to buy everything on my list",costco,price,"Dairy/Dairy Byproducts"
survey_2,user_3518,8/2/21,"i was able to buy everything on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_1208,8/2/21,"i found only a few of the items on my list",walmart,price,"Frozen Foods"
survey_10,user_1068,9/29/21,"i was able to buy everything on my list",costco,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_10,user_1068,9/29/21,"i was able to buy everything on my list",costco,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_10,user_1250,9/30/21,"i was able to buy everything on my list","sam's club",availability,Beverages
survey_10,user_1250,9/30/21,"i was able to buy everything on my list","sam's club",availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_8,user_1348,9/15/21,"i was able to buy everything on my list",walmart,brand,Beverages
survey_6,user_1399,9/3/21,"i was able to buy everything on my list","Sam's Club",Availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_5,user_1417,8/27/21,"i found most of the items on my list",kroger,price,"Pet Care"
survey_6,user_5504,9/2/21,"i found most of the items on my list",Costco,Brand,"Frozen Foods"
survey_6,user_5504,9/2/21,"i found most of the items on my list",Costco,Price,"Cereal (Ready To Eat)"
survey_5,user_5516,8/24/21,"i was able to buy everything on my list",target,brand,"Baby Care"
survey_6,user_5556,8/30/21,"i found most of the items on my list",Walmart,Price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_9,user_5574,9/21/21,"i was able to buy everything on my list",walmart,price,Bakery/Bread
survey_9,user_5616,9/24/21,"i was able to buy everything on my list",walmart,price,"Dairy/Dairy Byproducts"
survey_9,user_5657,9/22/21,"i found most of the items on my list",walmart,availability,Bakery/Bread
survey_8,user_5661,9/17/21,"i was able to buy everything on my list",costco,price,"Frozen Foods"
survey_7,user_5712,9/8/21,"i was able to buy everything on my list",Costco,Brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_9,user_5755,9/26/21,"i was able to buy everything on my list","sam's club",brand,Beverages
survey_8,user_5780,9/14/21,"i was able to buy everything on my list",walmart,availability,Bakery/Bread
survey_8,user_5808,9/17/21,"i found most of the items on my list",albertsons,brand,"Cereal (Ready To Eat)"
survey_8,user_3882,9/13/21,"i was able to buy everything on my list",walmart,price,"Dairy/Dairy Byproducts"
survey_8,user_4033,9/15/21,"i was able to buy everything on my list",kroger,availability,"Dairy/Dairy Byproducts"
survey_3,user_3874,8/10/21,"i was able to buy everything on my list",walmart,brand,Beverages
survey_3,user_3874,8/10/21,"i was able to buy everything on my list",walmart,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_5,user_4014,8/27/21,"i found most of the items on my list",target,availability,"Frozen Foods"
survey_9,user_3901,9/23/21,"i was able to buy everything on my list",kroger,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_4216,8/2/21,"i was able to buy everything on my list",walmart,brand,"Personal Care & Beauty Health"
survey_3,user_4219,8/13/21,"i found most of the items on my list","sam's club",availability,Beverages
survey_9,user_2213,9/26/21,"i was able to buy everything on my list","sam's club",price,"Beer, Wine & Spirits"
survey_8,user_2218,9/16/21,"i was able to buy everything on my list",target,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_2,user_2230,8/2/21,"i was able to buy everything on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_2290,8/8/21,"i found most of the items on my list","sam's club",price,"Pet Care"
survey_2,user_2287,8/5/21,"i was able to buy everything on my list",target,availability,"Baby Care"
survey_5,user_2304,8/23/21,"i was able to buy everything on my list",walmart,availability,"Cereal (Ready To Eat)"
survey_5,user_2400,8/26/21,"i was able to buy everything on my list","sam's club",price,"Cereal (Ready To Eat)"
survey_9,user_2447,9/20/21,"i found most of the items on my list",walmart,price,"Cereal (Ready To Eat)"
survey_2,user_2456,8/6/21,"i was able to buy everything on my list","sam's club",price,Beverages
survey_9,user_2649,9/21/21,"i was able to buy everything on my list",walmart,price,"Personal Care & Beauty Health"
survey_2,user_2691,8/5/21,"i was able to buy everything on my list",kroger,brand,"Personal Care & Beauty Health"
survey_6,user_2292,9/2/21,"i found most of the items on my list",Target,Price,Beverages
survey_8,user_2302,9/16/21,"i was able to buy everything on my list","trader joe's",brand,"Frozen Foods"
survey_8,user_2362,9/15/21,"i was able to buy everything on my list",walmart,availability,"Personal Care & Beauty Health"
survey_9,user_2605,9/25/21,"i was able to buy everything on my list",walmart,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_2,user_2605,8/6/21,"i was able to buy everything on my list",costco,availability,"Frozen Foods"
survey_5,user_2591,8/26/21,"i was able to buy everything on my list",kroger,availability,"Dairy/Dairy Byproducts"
survey_5,user_2600,8/24/21,"i was able to buy everything on my list",target,price,"Dairy/Dairy Byproducts"
survey_6,user_2766,8/31/21,"i found most of the items on my list",Target,Price,"Vitamins & Supplements"
survey_6,user_2766,8/31/21,"i found most of the items on my list",Target,Availability,"Pet Care"
survey_4,user_2770,8/18/21,"i was able to buy everything on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_5,user_2792,8/25/21,"i was able to buy everything on my list","sam's club",brand,"Cereal (Ready To Eat)"
survey_3,user_4432,8/13/21,"i found only a few of the items on my list",albertsons,price,Bakery/Bread
survey_6,user_4370,9/1/21,"i was able to buy everything on my list",Kroger,Price,"Frozen Foods"
survey_6,user_4370,9/1/21,"i was able to buy everything on my list",Kroger,Brand,Coffee/Tea
survey_2,user_4397,8/2/21,"i was able to buy everything on my list",walmart,brand,Bakery/Bread
survey_6,user_4388,9/5/21,"i was able to buy everything on my list",Kroger,Price,"Beer, Wine & Spirits"
survey_2,user_4434,8/8/21,"i was able to buy everything on my list",kroger,price,"Pet Care"
survey_4,user_4467,8/18/21,"i was able to buy everything on my list",costco,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_4,user_4467,8/18/21,"i was able to buy everything on my list",costco,price,"Pet Care"
survey_6,user_4487,9/4/21,"i found only a few of the items on my list",Walmart,Price,Bakery/Bread
survey_2,user_4571,8/2/21,"i found most of the items on my list",target,price,"Frozen Foods"
survey_2,user_4571,8/2/21,"i found most of the items on my list",target,availability,Bakery/Bread
survey_3,user_4673,8/15/21,"i was able to buy everything on my list",costco,brand,"Personal Care & Beauty Health"
survey_3,user_4673,8/15/21,"i was able to buy everything on my list",costco,price,"Dairy/Dairy Byproducts"
survey_3,user_4673,8/15/21,"i was able to buy everything on my list",costco,brand,"Vitamins & Supplements"
survey_2,user_4690,8/3/21,"i was able to buy everything on my list",target,brand,"Personal Care & Beauty Health"
survey_8,user_4521,9/19/21,"i found most of the items on my list",walmart,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_8,user_4521,9/19/21,"i found most of the items on my list",walmart,availability,"Pet Care"
survey_8,user_4521,9/19/21,"i found most of the items on my list",walmart,availability,"Personal Care & Beauty Health"
survey_8,user_4521,9/19/21,"i found most of the items on my list",walmart,availability,"Frozen Foods"
survey_9,user_4503,9/26/21,"i was able to buy everything on my list",albertsons,price,"Baby Care"
survey_5,user_4618,8/26/21,"i found most of the items on my list",costco,price,"Personal Care & Beauty Health"
survey_8,user_4632,9/13/21,"i was able to buy everything on my list",walmart,price,"Laundry/Home Cleaning"
survey_3,user_4677,8/10/21,"i was able to buy everything on my list",kroger,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_4,user_4772,8/22/21,"i was able to buy everything on my list","whole foods",availability,"Frozen Foods"
survey_6,user_4777,9/3/21,"i was able to buy everything on my list",Costco,Availability,"Dairy/Dairy Byproducts"
survey_6,user_4777,9/3/21,"i was able to buy everything on my list",Costco,Availability,Bakery/Bread
survey_4,user_4807,8/20/21,"i was able to buy everything on my list",kroger,brand,"Pet Care"
survey_2,user_1462,8/2/21,"i found most of the items on my list",costco,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_2,user_1462,8/2/21,"i found most of the items on my list",costco,availability,"Personal Care & Beauty Health"
survey_4,user_1529,8/17/21,"i was able to buy everything on my list",walmart,price,Beverages
survey_4,user_1557,8/21/21,"i was able to buy everything on my list",kroger,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_8,user_1573,9/19/21,"i was able to buy everything on my list",walmart,availability,"Frozen Foods"
survey_6,user_1599,9/4/21,"i was able to buy everything on my list",Costco,Price,Bakery/Bread
survey_5,user_1771,8/24/21,"i was able to buy everything on my list",kroger,price,"Frozen Foods"
survey_3,user_1683,8/10/21,"i was able to buy everything on my list","trader joe's",availability,"Canned Goods"
survey_3,user_1683,8/10/21,"i was able to buy everything on my list","trader joe's",availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_3,user_1603,8/10/21,"i was able to buy everything on my list",target,price,Bakery/Bread
survey_3,user_1750,8/14/21,"i found only a few of the items on my list","trader joe's",availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_6,user_1805,9/4/21,"i was able to buy everything on my list",Target,Brand,Beverages
survey_6,user_1805,9/4/21,"i was able to buy everything on my list",Target,Brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_6,user_1848,8/30/21,"i was able to buy everything on my list",Target,Availability,Bakery/Bread
survey_7,user_1883,9/11/21,"i was able to buy everything on my list",Walmart,Brand,"Dairy/Dairy Byproducts"
survey_8,user_1984,9/17/21,"i was able to buy everything on my list","sam's club",price,"Grains, Rice, Pasta And Sauce"
survey_3,user_1571,8/11/21,"i was able to buy everything on my list",albertsons,availability,"Laundry/Home Cleaning"
survey_3,user_1571,8/11/21,"i was able to buy everything on my list",albertsons,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_5,user_1648,8/24/21,"i was able to buy everything on my list",target,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_5,user_1648,8/24/21,"i was able to buy everything on my list",target,price,"Grains, Rice, Pasta And Sauce"
survey_6,user_1851,9/2/21,"i was able to buy everything on my list",Target,Price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_6,user_1872,8/31/21,"i was able to buy everything on my list","Whole Foods",Price,Bakery/Bread
survey_6,user_1872,8/31/21,"i was able to buy everything on my list","Whole Foods",Brand,"Vitamins & Supplements"
survey_5,user_1878,8/23/21,"i found most of the items on my list",walmart,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_3,user_38,8/15/21,"i was able to buy everything on my list","sam's club",availability,"Vitamins & Supplements"
survey_3,user_38,8/15/21,"i was able to buy everything on my list","sam's club",price,Beverages
survey_9,user_70,9/20/21,"i was able to buy everything on my list","trader joe's",availability,"Dairy/Dairy Byproducts"
survey_6,user_180,9/5/21,"i was able to buy everything on my list",Kroger,Price,Beverages
survey_6,user_180,9/5/21,"i was able to buy everything on my list",Kroger,Brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_8,user_181,9/13/21,"i was able to buy everything on my list",albertsons,price,"Grains, Rice, Pasta And Sauce"
survey_8,user_181,9/13/21,"i was able to buy everything on my list",albertsons,price,"Canned Goods"
survey_8,user_181,9/13/21,"i was able to buy everything on my list",albertsons,price,"Frozen Foods"
survey_8,user_181,9/13/21,"i was able to buy everything on my list",albertsons,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_2,user_196,8/4/21,"i was able to buy everything on my list",target,price,"Frozen Foods"
survey_2,user_196,8/4/21,"i was able to buy everything on my list",target,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_2,user_196,8/4/21,"i was able to buy everything on my list",target,availability,Bakery/Bread
survey_1,user_221,8/1/21,"i was able to buy everything on my list",kroger,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_1,user_221,8/1/21,"i was able to buy everything on my list",kroger,price,"Cereal (Ready To Eat)"
survey_3,user_166,8/10/21,"i was able to buy everything on my list",albertsons,availability,"Beer, Wine & Spirits"
survey_7,user_202,9/8/21,"i was able to buy everything on my list",Target,Brand,"Laundry/Home Cleaning"
survey_3,user_230,8/10/21,"i was able to buy everything on my list",costco,brand,Beverages
survey_9,user_253,9/22/21,"i was able to buy everything on my list",walmart,availability,Beverages
survey_3,user_406,8/11/21,"i was able to buy everything on my list","sam's club",price,"Laundry/Home Cleaning"
survey_7,user_1963,9/12/21,"i was able to buy everything on my list",Kroger,Availability,"Pet Care"
survey_8,user_1969,9/13/21,"i was able to buy everything on my list","whole foods",availability,"Beer, Wine & Spirits"
survey_8,user_1871,9/15/21,"i was able to buy everything on my list","trader joe's",price,"Canned Goods"
survey_2,user_2129,8/2/21,"i was able to buy everything on my list",walmart,availability,"Beer, Wine & Spirits"
survey_6,user_436,9/2/21,"i was able to buy everything on my list","Sam's Club",Price,"Frozen Foods"
survey_9,user_418,9/22/21,"i was able to buy everything on my list",costco,availability,Bakery/Bread
survey_6,user_535,9/1/21,"i was able to buy everything on my list","Trader Joe's",Availability,"Cereal (Ready To Eat)"
survey_9,user_591,9/24/21,"i was able to buy everything on my list",target,availability,"Dairy/Dairy Byproducts"
survey_4,user_649,8/18/21,"i was able to buy everything on my list",albertsons,availability,"Paper (Tissue, Paper Towels, Etc.)"
survey_3,user_656,8/11/21,"i found most of the items on my list",walmart,brand,"Laundry/Home Cleaning"
survey_3,user_670,8/15/21,"i was able to buy everything on my list",albertsons,availability,"Canned Goods"
survey_7,user_705,9/12/21,"i was able to buy everything on my list",Albertsons,Availability,"Dairy/Dairy Byproducts"
survey_7,user_645,9/7/21,"i found most of the items on my list",Walmart,Availability,Beverages
survey_3,user_871,8/12/21,"i was able to buy everything on my list",target,brand,Coffee/Tea
survey_3,user_940,8/13/21,"i was able to buy everything on my list",costco,availability,"Dairy/Dairy Byproducts"
survey_3,user_940,8/13/21,"i was able to buy everything on my list",costco,brand,"Frozen Foods"
survey_8,user_2896,9/13/21,"i was able to buy everything on my list",walmart,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_4,user_2911,8/21/21,"i was able to buy everything on my list","sam's club",availability,"Vitamins & Supplements"
survey_7,user_818,9/7/21,"i was able to buy everything on my list",Target,Availability,Coffee/Tea
survey_6,user_856,9/3/21,"i was able to buy everything on my list",Costco,Price,Beverages
survey_4,user_907,8/22/21,"i was able to buy everything on my list","whole foods",availability,Beverages
survey_4,user_910,8/17/21,"i found most of the items on my list","sam's club",price,"Cereal (Ready To Eat)"
survey_9,user_1082,9/24/21,"i was able to buy everything on my list",walmart,brand,"Pet Care"
survey_2,user_1191,8/2/21,"i was able to buy everything on my list",target,price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_5,user_1210,8/27/21,"i was able to buy everything on my list",walmart,price,"Canned Goods"
survey_5,user_1210,8/27/21,"i was able to buy everything on my list",walmart,price,Coffee/Tea
survey_5,user_1112,8/26/21,"i was able to buy everything on my list",costco,price,"Paper (Tissue, Paper Towels, Etc.)"
survey_2,user_1099,8/2/21,"i was able to buy everything on my list",target,availability,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_7,user_2992,9/11/21,"i was able to buy everything on my list",Kroger,Availability,Bakery/Bread
survey_8,user_3000,9/18/21,"i found most of the items on my list",walmart,brand,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_8,user_3000,9/18/21,"i found most of the items on my list",walmart,brand,"Beer, Wine & Spirits"
survey_2,user_3146,8/2/21,"i was able to buy everything on my list","trader joe's",availability,"Pet Care"
survey_7,user_3188,9/6/21,"i was able to buy everything on my list",Target,Price,"Snack Foods (Cookies, Candy, Crackers, Chips, Etc.)"
survey_6,user_3277,9/3/21,"i was able to buy everything on my list",Kroger,Availability,"Baby Care"
survey_1,user_3131,8/1/21,"i was able to buy everything on my list",kroger,price,"Frozen Foods"
survey_2,user_3160,8/3/21,"i was able to buy everything on my list",walmart,availability,"Dairy/Dairy Byproducts"
survey_6,user_3214,8/30/21,"i was able to buy everything on my list",Walmart,Brand,"Pet Care"
survey_3,user_3348,8/9/21,"i found most of the items on my list",walmart,brand,Beverages
survey_4,user_3270,8/18/21,"i was able to buy everything on my list",walmart,availability,"Personal Care & Beauty Health"
survey_4,user_3270,8/18/21,"i was able to buy everything on my list",walmart,availability,Beverages
survey_9,user_3417,9/21/21,"i was able to buy everything on my list",walmart,brand,"Baby Care"
survey_9,user_3417,9/21/21,"i was able to buy everything on my list",walmart,availability,"Dairy/Dairy Byproducts"
survey_3,user_3434,8/14/21,"i was able to buy everything on my list",kroger,brand,"Pet Care"
